batch_size: 64
shuffle: True
num_workers: 32
learning_rate: 0.01
num_epochs: 1000
valid_epochs: 20
display_loss: 2
save_dir: ./checkpoints/2023-11-05_10:03:55/
logging_file: ./checkpoints/2023-11-05_10:03:55//training_log_2023-11-05_10:03:55.txt
comment: VLAAI with 64 windows chosen randomly
Epoch [3/1000] | Step [42/21000] | Train Loss: -0.0082, Metric: 
Epoch [5/1000] | Step [84/21000] | Train Loss: -0.0398, Metric: 
Epoch [7/1000] | Step [126/21000] | Train Loss: -0.0689, Metric: 
Epoch [9/1000] | Step [168/21000] | Train Loss: -0.0898, Metric: 
Epoch [11/1000] | Step [210/21000] | Train Loss: -0.0913, Metric: 
Epoch [13/1000] | Step [252/21000] | Train Loss: -0.0998, Metric: 
Epoch [15/1000] | Step [294/21000] | Train Loss: -0.0995, Metric: 
Epoch [17/1000] | Step [336/21000] | Train Loss: -0.1094, Metric: 
Epoch [19/1000] | Step [378/21000] | Train Loss: -0.1126, Metric: 
Epoch [21/1000] | Step [420/21000] | Valid Loss: -0.1037, Metric: 0.0999
Epoch [21/1000] | Step [420/21000] | Train Loss: -0.1094, Metric: 
Epoch [23/1000] | Step [462/21000] | Train Loss: -0.1119, Metric: 
Epoch [25/1000] | Step [504/21000] | Train Loss: -0.1209, Metric: 
Epoch [27/1000] | Step [546/21000] | Train Loss: -0.1202, Metric: 
Epoch [29/1000] | Step [588/21000] | Train Loss: -0.1252, Metric: 
Epoch [31/1000] | Step [630/21000] | Train Loss: -0.1235, Metric: 
Epoch [33/1000] | Step [672/21000] | Train Loss: -0.1231, Metric: 
Epoch [35/1000] | Step [714/21000] | Train Loss: -0.1204, Metric: 
Epoch [37/1000] | Step [756/21000] | Train Loss: -0.1230, Metric: 
Epoch [39/1000] | Step [798/21000] | Train Loss: -0.1129, Metric: 
Epoch [41/1000] | Step [840/21000] | Valid Loss: -0.1183, Metric: 0.1145
Epoch [41/1000] | Step [840/21000] | Train Loss: -0.1278, Metric: 
Epoch [43/1000] | Step [882/21000] | Train Loss: -0.1346, Metric: 
Epoch [45/1000] | Step [924/21000] | Train Loss: -0.1327, Metric: 
Epoch [47/1000] | Step [966/21000] | Train Loss: -0.1341, Metric: 
Epoch [49/1000] | Step [1008/21000] | Train Loss: -0.1366, Metric: 
Epoch [51/1000] | Step [1050/21000] | Train Loss: -0.1372, Metric: 
Epoch [53/1000] | Step [1092/21000] | Train Loss: -0.1313, Metric: 
Epoch [55/1000] | Step [1134/21000] | Train Loss: -0.1302, Metric: 
Epoch [57/1000] | Step [1176/21000] | Train Loss: -0.1215, Metric: 
Epoch [59/1000] | Step [1218/21000] | Train Loss: -0.1333, Metric: 
Epoch [61/1000] | Step [1260/21000] | Valid Loss: -0.1228, Metric: 0.1185
Epoch [61/1000] | Step [1260/21000] | Train Loss: -0.1318, Metric: 
Epoch [63/1000] | Step [1302/21000] | Train Loss: -0.1343, Metric: 
Epoch [65/1000] | Step [1344/21000] | Train Loss: -0.1431, Metric: 
Epoch [67/1000] | Step [1386/21000] | Train Loss: -0.1456, Metric: 
Epoch [69/1000] | Step [1428/21000] | Train Loss: -0.1370, Metric: 
Epoch [71/1000] | Step [1470/21000] | Train Loss: -0.1382, Metric: 
Epoch [73/1000] | Step [1512/21000] | Train Loss: -0.1389, Metric: 
